[ВОЙНА И МИР]                    ТОЛСТОЙ
[ЗОЛОТОЙ ТЕЛЕНОК]                ИЛЬФ ПЕТРОВ
[АЙВЕНГО]                        СКОТТ
[МАСКАРАД]                       ЛЕРМОНТОВ
[БЕДНЫЕ ЛЮДИ]                    ДОСТОЕВСКИЙ
[ВИШНЁВЫЙ САД]                   ЧЕХОВ
[КАМЕННЫЙ ГОСТЬ]                 ПУШКИН
[ОБЛОМОВ]                        ГОНЧАРОВ
[ГРОЗА]                          ОСТРОВСКИЙ
[ДВЕНАДЦАТЬ СТУЛЬЕВ]             ИЛЬФ ПЕТРОВ
[СТАРОСВЕТСКИЕ ПОМЕЩИКИ]         ГОГОЛЬ
[ДУБРОВСКИЙ]                     ПУШКИН
[ГОРЕ ОТ УМА]                    ГРИБОЕДОВ
[БЕСПРИДАННИЦА]                  ОСТРОВСКИЙ
[ЧЕЛОВЕК В ФУТЛЯРЕ]              ЧЕХОВ
[ВЫСТРЕЛ]                        ПУШКИН
[ИГРОК]                          ДОСТОЕВСКИЙ
[ПИКНИК НА ОБОЧИНЕ]              СТРУГАЦКИЙ СТРУГАЦКИЙ
[ТРУДНО БЫТЬ БОГОМ]              СТРУГАЦКИЙ СТРУГАЦКИЙ
[МАШИНА ВРЕМЕНИ]                 УЭЛЛС
[ТРИ МУШКЕТЁРА]                  ДЮМА
[ГРАФ МОНТЕ-КРИСТО]              ДЮМА
[ДОН КИХОТ]                      СЕРВАНТЕС
[РОМЕО И ДЖУЛЬЕТТА]              ШЕКСПИР
[ГАМЛЕТ]                         ШЕКСПИР
[ПАРФЮМЕР]                       ЗЮСКИНД
[СТО ЛЕТ ОДИНОЧЕСТВА]            МАРКЕС
[МОРСКОЙ ВОЛК]                   ЛОНДОН
[ТАИНСТВЕННЫЙ ОСТРОВ]            ВЕРН
[ВОКРУГ СВЕТА ЗА 80 ДНЕЙ]        ВЕРН
